source_pdf,query,answer
Organic framing guide.pdf,How to harvesting for Maize?,Oct ober Variety H ybrid- Swati Important features of suitable variety Variety Hybrid-Swati Duration (days) 70 Average yield under organic condition (kg/ha) 8852 Source (s) of availability Local Market Suitable regions/districts in the state Kullu and Mandi Nursery raising practices Area of nursery required for 1 ha 30 m2 Nursery raising method Raised seed bed Bed size (length × breadth in m) 3m × 1m Seed sowing rate/m223g Pre-sowing seed/soil treatment Materials Quantity/kg of Met hod of seed or per m2 area application Nursery bed treatment Trichoderma virde/ 40 gm/ m2Drenching/ Trichoderma b...
Organic framing guide.pdf,How to seed treatment for Maize?,"Trichoderma virde 5 gm/kg of seed Seed coating Pseudomonas 5 gm/kg of seed fluorescence Hot water Seed soaking Treatment forblack rot 112 Organic Farming : Crop Production Guide NPOF, ICAR-IIFSR, Modipuram Source and optimum quantity Materials Quantity/ m2area Method of of organic manures/other application nutrient source/m2 of nursery FYM 5 kg Basal application Vermicompost 2 kg -do-"
Organic framing guide.pdf,How to irrigation for Maize?,practices Watering can
Organic framing guide.pdf,How to weed management for Maize?,Manual Organic plant protection Name of pest/ Recommended Quantity/ m2 area practices disease organic material used for control Blight/leaf spot Trichoderma 0.30 gm/m2 each virde + Pseudomonas fluorescence Black rot Trichoderma 0.30 gm/m2 each virde + Pseudomonas fluorescence Curd rot Trichoderma 0.30 gm/m2 each virde + Pseudomonas fluorescence Optimum age of nursery (days) 38 Field preparation: The field is irrigated and then plough once with disc harrow and thrice with power tiller to bring soil in to good tilth. The bed size is kept as per convenience...
Organic framing guide.pdf,How to irrigation for Maize?,(cm) 4-5 Transplanting and 4-5 cm curd formation Major weeds Local name Common name Scientific name Jhanda Water grass Echinochloa colonum Chhoti Jhan Yellow foxtail Setaria glauca Motha Purple nutsedge Cyperus sp. Ragi/Mandal Goose grass Eleusine indica
Organic framing guide.pdf,How to weed management for Maize?,"Critical stage Recommended practice for organic condition of weeding 2-3 (4 leaf stage, Manual 2 times before curd formation) Organic plant protection Name of pest/ Organic material Quantity practices disease recommended forcontrol 1. Lepidopeterus Delta Sticky Traps 25traps/ha larvae having DBM (Diamond Back Moth) lure tobe installed 114 Organic Farming : Crop Production Guide NPOF, ICAR-IIFSR, Modipuram immediately after transplanting 2. Aphids No need as the - population remainsbelow EconomicInjury Level Optimum stage of"
Organic framing guide.pdf,How to harvesting for Maize?,"When curds become compact and gain proper shape (in case of vegetables andgreen cob) Yield Year 2007-08 2008-09 2009-10 2010-11 2011-12 2012-13 Mean Economic yield (kg/ha) 10670 9660 8330 9523 7570 7360 8852 Organic cauliflower crop Organic cauliflower curds 115 Organic Farming : Crop Production Guide NPOF, ICAR-IIFSR, Modipuram Pea Important features of suitable variety Variety Azad P-1 Duration (days) 140 Average yield under organic condition (kg/ha) 8941Source (s) of availability Deptt..."
Organic framing guide.pdf,How to seed treatment for Maize?,"Trichoderma virde 3.75 kg/ha Seed coating of each Pseudomonas 3.75 kg /ha fluorescence Spacing (row × plant) in cm 60 × 10 Basal application of organic Source Quantity/ha manures including soil FYM 4.34 tonnes application of bio-fertilizers, Vermicompost 3.2 tonnes bio-control agents etc Rock phosphate 87 kg Top dressing of organic Source Quantity/ha Days after sowing/ manures planting or stage of crop Cow urine 60L 30, 45, 60 DAS 116 Organic Farming : Crop Production Guide NPOF, ICAR-IIFSR, Modipuram Panchagavya 18L 30, 45, 60 DAS Vermi wash-10% 60 L/600 L water/ha 30, 45, 60 DAS"
Organic framing guide.pdf,How to irrigation for Maize?,"(cm) 2-3 Seed germination, 4-5cm flowering and pod formation Major weeds Local name Common name Scientific name Jaldhar Corn Butter Cup Ranunculus arvensis Poa grass Annual blue grass Poa annua Maina/Khukhni Bur clover Medicago denticulate Krishan neel Scarlet pimpernel Anagallis arvensis Khokhua Chick weed Stellaria media"
Organic framing guide.pdf,How to weed management for Maize?,"Critical stage Recommended practice for organic condition of weeding 1. After 3-4 weeks Manual   of sowing2. Before flowering Organic plant protection Name of pest/ Organic material Quantity practices disease recommended forcontrol Ascochyta blight Trichoderma 3kg/ha each virde + Pseudomonas fluorescence Powdery mildew Ginger, Garlic and 1.25 kg/ha ginger,Chilli Extract 2.5 kg/ha garlic, 1.25 kg/ha chilli Powdery mildew Trichoderma 3kg/ha each virde + Pseudomonas fluorescence Optimum stage of"
Organic framing guide.pdf,How to harvesting for Maize?,"When Pea pods attain dark green colour (in case of vegetables and green cob) 117 Organic Farming : Crop Production Guide NPOF, ICAR-IIFSR, Modipuram Yield (kg/ha) of pea in cropping systems Year 2007-08 2008-09 2009-10 2010-11 2011-12 2012-13 Mean Cauliflower- pea-tomato 10820 11290 5230 7420 10185 8700 8941 Corainder- pea-tomato 6485 5941 7150 4248 5956 Organic green podsOrganic vegetable pea crop Organic green pods 118 Organic Farming : Crop Production Guide NPOF, ICAR-IIFSR, Modipuram"
Organic framing guide.pdf,How to seed treatment for Tomato?,"Trichoderma virde 5 gm/kg each Seed coating Pseudomonas fluorescence Nursery bed Treatment: Trichoderma 40 gm/ m2Drenching/ virde / broadcasting Trichoderma harzianum Plastic sheet 30m2Soil solarisation Seedling Treatment Trichoderma virde 0.30 g/m2 each Root dip Pseudomonas fluorescence 119 Organic Farming : Crop Production Guide NPOF, ICAR-IIFSR, Modipuram Source and optimum quantity Materials Quantity/ m2area Method of of organic manures/other application nutrient source/m2 of nursery FYM 2 kg Basal application Vermicompost 1 kg -do-"
Organic framing guide.pdf,How to irrigation for Tomato?,practices Watering can
Organic framing guide.pdf,How to weed management for Tomato?,Manual Organic plant protection Name of pest/ Recommended Quantity/ m2area practices disease organic material used for control Blights/leaf Trichoderma 0.30 gm/m2 each spots/fruit rots virde+ Pseudomonas fluorescence Wilt/root/collar rot Trichoderma virde 3.75kg/m2 as soil treatment Wilt/root/collar rot Trichoderma 0.30 gm/m2 each virde + Pseudomonas fluorescence as foliar spray Optimum age of nursery (days) 32 Field preparation: The field is irrigated and then plough once with disc harrow and thrice with power tiller to bring soil in to good tilth. The bed size is kept as per convenience...
Organic framing guide.pdf,How to irrigation for Tomato?,practices Number of Most critical stages Depth of
Organic framing guide.pdf,How to irrigation for Tomato?,"(cm) 3-4 Transplanting, 4-5 flowering and fruit setting Major weeds Local name Common name Scientific name Kulfa Purslane Portulaca oleracea Tipatia/khatibuti Wood sorrel Oxalis latifolia Poa grass Annual blue grass Poa annua Peeli buti - Gallinsoga parviflora"
Organic framing guide.pdf,How to weed management for Tomato?,"Critical stage Recommended practice for organicof weeding condition After 2-3 weeks Manual of transplantingand thereafter45 and 60 DAT Organic plant protection Name of pest/ Organic material Quantity practices disease recommended forcontrol Fruit borer i) Lipel/Dipel Lipel @1.0 kg/ha or (Bacillus Dipel 1.0 L/600 L/ thuringiensis sp. water/ha kurstaki) 121 Organic Farming : Crop Production Guide NPOF, ICAR-IIFSR, Modipuram ii) Neemban(0.15%) 3L/600 L water/ ha iii)Margosom 0.6L/600 L (Azedarchtin 1..."
Organic framing guide.pdf,How to harvesting for Tomato?,"When ¼th lower part of tomato fruit turns red. Yield (kg/ha) of tomato in cropping systems Year 2007-08 2008-09 2009-10 2010-11 2011-12 2012-13 Mean Cauliflower-pea- tomato 14970 15620 18580 1993 3700 7600 10411 Corainder-pea- tomato 24635 8086 3328 8555 11151 Organic tomato crop Organic tomato fruits 122 Organic Farming : Crop Production Guide NPOF, ICAR-IIFSR, Modipuram Coriander Particulars Kharif Crop Coriander Sowing/planting August"
Organic framing guide.pdf,How to harvesting for Tomato?,September Variety Mediterranea- Hybrid Important features of suitable variety Variety Mediterranea- Hybrid Duration (days) 91 Average yield under organic condition (kg/ha) 6507 Source (s) of availability Local MarketSuitable regions/districts in the state Kullu Field preparation: Irrigate field and then plough once with disc harrow and thrice with power tiller to bring soil in to fine tilth. Plain beds are made keeping bed size as per convenience...
Organic framing guide.pdf,How to irrigation for Tomato?,"(cm) 5-6 - 4-5 cm 123 Organic Farming : Crop Production Guide NPOF, ICAR-IIFSR, Modipuram Major weeds Local name Common name Scientific name Jhanda Water grass Echinochloa colonum Chhoti Jhan Yellow foxtail Setaria glauca"
Organic framing guide.pdf,How to weed management for Tomato?,"Critical stage of Recommended practice for organic condition weeding After 2-3 weeks of Manual sowing Organic plant protection Name of pest/ Organic material Quantity practices disease recommended for control No insect-pest problem found, hence no need of plant protectionpractices Optimum stage of"
Organic framing guide.pdf,How to harvesting for Tomato?,"After 4-5weeks, twice at 15-20 days interval Yield Year 2009-10 2010-11 2011-12 2012-13 Mean Economic yield (kg/ha) 6396 9523 3512 6596 6507 (green leaf) Organic green coriander crop Harvested organic coriander 124 Organic Farming : Crop Production Guide NPOF, ICAR-IIFSR, Modipuram Process FYM Vermicompost Vermiwash as nutrient supplement Phermone trap Water trap Yellow sticky trap Leaf extract- Roylea cinerea Leaf extract- Melia azedarach Trichoderma, Pseudomonas & Lipel Neembaan 5% Melia, 1% Morgosom and 5% Eupatorium 125 Organic Farming : Crop Production Guide NPOF, ICAR-IIFSR, Modipuram JH..."
Organic framing guide.pdf,How to harvesting for Rice?,"1st fortnight of Nov. Variety Birsamati Important features of suitable variety Variety Birsamati Duration (days) 125-135 (Medium) Average yield under organic condition (kg/ha) 3000-3500 kg/ha Source (s) of availability AICRP on RiceBAU, Ranchi..."
Organic framing guide.pdf,How to irrigation for Rice?,practices As and when needed
Organic framing guide.pdf,How to weed management for Rice?,"1 Hand weeding Organic plant protection Name of pest/ Recommended Quantity/ m2area practices disease organic materialused for control Wilt, Blast, Blight N isarga/Monitor/ Seed- 5 g/litre/kg Biosanjeevni(Trichoderma viride) Optimum age of nursery (days) 25-30 days Field preparation: The field was ploughed twice 15 days before transplanting the puddling of the soil was done two days prior to transplanting. The green manure crop dhaincha can be grown at seed rate of 40 kg/ha in May month with application of 250 kg/ha of rockphosphate..."
Organic framing guide.pdf,How to irrigation for Rice?,"(cm) Need based Tiller initiation, 3-5 cm standingflowering and water milky stage Major weeds Local Name English Name Scientific Name Motha Nut sedge Cyperus difformis Dub ghas Couch grass Cynodon dactylon Sawa Water grass Echinochloa colona Kodo Goose grass Eleusine indica Bhangra, False daisy Eclipta alba Bhangaraiya Bara-nagar-motha Flat sedge Cyperus iria Kankaua Day flower Commelina benghalensis"
Organic framing guide.pdf,How to weed management for Rice?,"Critical stage Recommended practice for organic condition of weeding 20-25 & 40-45 DAT Hand weeding and summer ploughing Organic plant protection Name of pest/ Organic material Quantity practices disease recommended for control White ant, grubs Kalichakra Soil- 1-2 kg/40 kg (metarhizium FYM/acre foliar-1 kg/ aniopliae) kg j aggery in 200 litre/acre 128 Organic Farming : Crop Production Guide NPOF, ICAR-IIFSR, Modipuram Soil born di sease Trichoderma viride Vermicompost should be treated with Trichoderma to grow its mycelium and treatedvermicompost in used Sheath blight Pseudomonas 10 gm/litre ..."
Organic framing guide.pdf,How to irrigation for Rice?,"(cm) 6 Crown root initiation, 5-6cm tillering, jointing,booting, flowering,milk and dough stages Major weeds Local name English name Scientific name Krishananeel Red pimpernel Anagallis arvensis Kateli Bull thistle Cirsium arvense Bathu Common Chenopodium lambsquarters album Motha Nut sedge Cyperus difformis Gehusa Canary grass Phalaris minor (gehu ka mama) Dub ghas Couch grass Cynodon dactylon"
Organic framing guide.pdf,How to weed management for Rice?,"Critical stage Recommended of weeding practice for organic condition 20-25 & 40-45 Hand weeding andstale seed bedtechnique Organic plant protection Name of pest/ Organic material Quantity practices disease recommended forcontrol White ant, grubs Kalichakra Soil- 1-2 kg/40 kg (metarhizium FYM/acre foliar-1 kg/ aniopliae) kg jaggery in 200 litre/ acre 131 Organic Farming : Crop Production Guide NPOF, ICAR-IIFSR, Modipuram Most of the insects Neem oil Foliar 2..."
Organic framing guide.pdf,How to seed treatment for Rice?,"herginum or 5 g/kg seed Trichoderma viride Yield Year 1st2nd3rd4th5th6th7th8thMean Economic yield (kg/ha) 2048 2366 2528 2587 2000 1875 2240 1950 4399 Wheat organic crop Wheat crop under towards organic approach 132 Organic Farming : Crop Production Guide NPOF, ICAR-IIFSR, Modipuram Details of Specific Practices Panchgavya preparation method Panchgavya can be prepared by mixing 3 litre of cow urine, 5 kg of cow dung, 2 litre of cow milk, curd of 2 litres of cow milk, 1 kg cow ghee, 5 litre water, 500 gm honey, 1 kg jaggery in earthen pot. Then the earthen pot is covered and left for 3 weeks..."
Organic framing guide.pdf,How to harvesting for Rice?,"2nd fortnight of March. Variety PL-406 Important features of suitable variety Variety PL-406 Duration (days) 115 Average yield under organic condition (kg/ha) 600-800 Source (s) of availability Directorate of Seed & Farm, BAU. Suitable regions/districts in the state All district of Jharkhand Specific resistance / tolerance to disease moderately resistant wilt and rust Field preparation: For field preparation of lentil one deep ploughing followed by 2-3 cross harrowing should be given. After harrowing, the field should be levelled by giving a gentle slope to ease in"
Organic framing guide.pdf,How to irrigation for Rice?,". Cultural practices Seed rate (kg/ha) 25-30 kg/ha Pre-sowing/planting treatment Material Recommended Met hod of of seed/seedlings rate application PSB & Rhizobium 250 g/10 kg seeds Warm the water and culture add 100 gm of 133 Organic Farming : Crop Production Guide NPOF, ICAR-IIFSR, Modipuram jiggery. Mix it well and allow to cool and thenadd rhizobiumculture in it. Finallyseed is well mixed with rhizobium culture solution. Thetreated seed isallowed to dry inshade..."
Organic framing guide.pdf,How to irrigation for Rice?,(cm) 2 Pre-flowering stage 5-6 Major weeds Local name English name Scientific name Krishananeel Red pimpernel Anagallis arvensis Kateli Bull thistle Cirsium arvense Bathu Common Chenopodium lambsquarters album Motha Nut grass Cyperus difformis Dub ghas Bermuda grass Cynodon dactylon Kheshari Sweet pea Lathyrus odoratus
Organic framing guide.pdf,How to weed management for Rice?,"Critical stage Recommended practice for organic conditionof weeding 20-25 & 40-45 Hand weeding and stale seed bed technique 134 Organic Farming : Crop Production Guide NPOF, ICAR-IIFSR, Modipuram Organic plant protection Name of pest/ Organic material Quantity practices disease recommended for control White ant, grubs Kalichakra Soil- 1-2 kg/40 kg (metarhizium FYM/acre foliar-1 kg/ aniopliae) kg j aggery in 200 litre/acre Most of the Neem oil Foliar 2..."
Organic framing guide.pdf,How to harvesting for Rice?,"1st fortnight of April. Variety Shekhar Important features of suitable variety Variety Shekhar Duration (days) 140 Average yield under organic condition (kg/ha) 500-700 Source (s) of availability Directorate of seed & farm, BAU..."
Organic framing guide.pdf,How to irrigation for Rice?,"at 5-6 cm 35, 55 and 75 days after sowing provedvery effective Major weeds Local name English name Scientific name Krishananeel Red pimpernel Anagallis arvensis Kateli Bull thistle Cirsium arvense Bathu Common Chenopodium lambsquarters album Motha Nut grass Cyperus difformis Dub ghas Bermuda grass Cynodon dactylon"
Organic framing guide.pdf,How to weed management for Rice?,"Critical stage Recommended practice for organic condition of weeding 20-25 & 40-45 Hand weeding and stale seed bed technique 137 Organic Farming : Crop Production Guide NPOF, ICAR-IIFSR, Modipuram Organic plant protection Name of pest/ Organic material Quantity practices disease recommended for control White ant, grubs Kalichakra Soil- 1-2 kg/40 kg (metarhizium FYM/acre foliar-1 kg/ aniopliae) kg j aggery in 200 litre/acre Most of the Neem oil Foliar 2..."
Organic framing guide.pdf,How to harvesting for Rice?,"2nd fortnight of Feb. Variety Kufri Ashoka Important features of suitable variety Variety Kufri Ashoka Duration (days) 95 Average yield under organic condition (kg/ha) 18000-20000 Source (s) of availability Ram Krishna Mission, Ranchi Suitable regions/districts in the state All district/Jharkhand Field preparation: Land should be well prepared by deep ploughing with mould-bold plough followed by 3-4 cross harrow wings. Each harrowing should be followed by planking so that the soil is well pulverised and levelled..."
Organic framing guide.pdf,How to irrigation for Rice?,practices Number of Most critical Depth of
Organic framing guide.pdf,How to irrigation for Rice?,at 4-5 5-6 cm days after seedingthan after 10 daysinterval Major weeds Local name English name Scientific name Krishananeel Red pimpernel Anagallis arvensis Kateli Bull thistle Cirsium arvense Bathu Common Chenopodium lambsquarters album Motha Nut grass Cyperus difformis Dub ghas Bermuda grass Cynodon dactylon
Organic framing guide.pdf,How to weed management for Rice?,"Critical stage Recommended practice for organic condition of weeding 20-25 & 40-45 Hand weeding and stale seed bed technique Organic plant protection Name of pest/ Organic material Quantity practices disease recommended forcontrol White ant, grubs Kalichakra Soil- 1-2 kg/40 kg (metarhizium FYM/acre foliar-1 kg/ aniopliae) kg j aggery in 200 litre/acre Most of the Neem oil Foliar 2..."
Organic framing guide.pdf,How to harvesting for Rice?,"September II Fortnight Varieties JS-335, JS 9305, DSB 21 Important features of suitable varieties Varieties JS-335 JS 9305 DSB 21 Duration (days) 85-90 80-85 85-90 Average yield under organic 2000-2500 2000-2500 2000-2500 condition (kg/ha)Source (s) of availability Bio-Resource Bio-Resource Bio-Resource Farm, IOF, UAS, Farm, IOF, UAS, Farm, IOF, UAS,Dharwad Dharwad Dharwad Suitable regions/ districts in Belgaum, Bidar, Belgaum, Bidar, Belgaum, Bidar,the state Dharwad, Haveri, Dharwad, Haveri, Dharwad, Haveri, Bagalkot Bagalkot Bagalkot 142 Organic Farming : Crop Production Guide NPOF, ICAR-IIF..."
Organic framing guide.pdf,How to seed treatment for Rice?,Trichoderma harzianum 0.5 kg/ha
Organic framing guide.pdf,How to seed treatment for Rice?,"Spacing (row x plant) in cm 30 x 7.5 cm Basal application of organic Source Quantity/ha manures Enriched compost 3.33 tonnes Vermicompost 2.66 t onnes Green leaf manure 5.33 tonnes Neem cake 250 kg Top dressing of organic manures Source Quantity/ha Days aftersowing/plantingor stage of crop Cow urine @ 10% 100 litre/ha Foliar spray at 30 and 45 days aftersowing 143 Organic Farming : Crop Production Guide NPOF, ICAR-IIFSR, Modipuram Panchagavya @3 % 30 litre/ha Foliar spray at 30 and 45 days after sowing"
Organic framing guide.pdf,How to irrigation for Rice?,s Most critical stages Depth of for
Organic framing guide.pdf,How to irrigation for Rice?,"(cm) Purely under Rainfed condition Major weeds Digitaria marginata Dinebra retroflexa, Pannicum Spp., Cynodon dactylon, Commelina subulata, Commelina benghalensis, Cyanotis cucullata, Euphorbia Spp., Eleusine indica, Echinochloa colonum, Setaria Spp, Cyperus rotundus, Parthenium justerophorus, Sida acuta and Portulaca oleracea"
Organic framing guide.pdf,How to weed management for Rice?,"Critical stage of weeding Recommended practice for organic condition 25 to 35 days after Deep tillage, stale seed bed preparation. Inter sowing cultivation with hoes and mechnical hand weeder ( 20 and 40 DAS (days after sowing)and manual weeding (at 25 and 45 DAS) Organic plant protection practices Name of pest/disease Organic material Quantity 1. Sprinkle seeds of castor or re commended for control sunflower for spodoptera Defoliators and pod Botanicals @ 5% foliar 25 litres management borer spray at 65 DAS 2..."
Organic framing guide.pdf,How to harvesting for Rice?,"February II Fortnight Varieties DW R-2006, Bijaga Yellow Important features of suitable varieties Varieties DWR 2006 Bijaga Yellow Duration (days) 105-110 105-110 Average yield under organic condition (kg/ha) 1200-1500 1200-1500 Source (s) of availability Bio-Resource Farm, Bio-Resource Farm, IOF, UAS, Dharwad IOF, UAS, Dharwad Suitable regions/districts in the state Entire Karnataka State Entire Karnataka State Specific resistance / tolerance to disease Resistant to leaf blotch Resistant to leaf blotch Specific tolerance to drought/waterlogging Drought Drought Field preparation: After harvest..."
Organic framing guide.pdf,How to seed treatment for Rice?,Trichoderma harzianum 0.25 kg
